Date,EarleCtFarm,CowFarm,CEE,WaterSurvey,ABE,StudentFarm,Surplus,Spurlock,HorseFarm,Bondville
2022-03-21,0.77,36.51,1.33,,,,,,,
2022-03-22,,,,,,,,,,0.88
2022-04-04,0.7,34.87,0.97,,,,,,,
2022-04-05,,,,,,,,,,0.88
2022-04-18,1.23,49.96,2.02,1.68,2.12,1.71,,,,
2022-04-19,,,,,,,,,,1.6
2022-05-02,,44.68,2.41,1.44,2.18,2.31,,,,
2022-05-03,8.01,,,,,,,,,5.29
2022-05-16,,66.64,3.81,4.4,3.86,5.11,,,,
2022-05-17,3.85,,,,,,,,,6.16
2022-05-30,2.566666667,79.24,2.71,2.83,2.6,3.14,,,,
2022-05-31,,,,,,,,,,2.533333333
2022-06-13,,98.16,3.11,3.37,3.05,3.38,,,,
2022-06-14,2.83,,,,,,,,,4.87
2022-06-28,,84.93,2.91,,3.04,3.28,,,,4.16
2022-06-29,2.44,,,,,,,,,
2022-07-12,,,,,,,,,,2.84
2022-07-13,,95.05,2.37,,2.35,2.65,,,,
2022-07-14,1.906666667,,,,,,,,,
2022-07-26,,,,,,,,,,2.06
2022-07-27,,106.05,2.22,,2.21,3.29,,,,
2022-07-28,1.83,,,,,,,,,
2022-08-09,,,,,,,,,,1.81
2022-08-11,1.14,81.73,1.35,,,,1.93,1.99,3.01,
2022-08-23,,,,,,,,,,1.65
2022-08-25,,89.62,2.13,,,,2.17,2.46,4.4,
2022-08-26,1.84,,,,,,,,,
2022-09-06,,,,,,,,,,1.48
2022-09-08,,83.77,,,,,1.74,2.25,4.04,
2022-09-12,1.11,,,,,,,,,
2022-09-20,,,,,,,,,,1.705
2022-09-24,,84.98,,,,,1.97,2.31,3.28,
2022-09-25,,,2.21,,,,,,,
2022-10-04,,,,,,,,,,0.89
2022-10-10,,77.06,,,,,2.03,2.26,3.39,
2022-10-18,,,,,,,,,,2.06
2022-10-25,,45.5,2.12,,,,1.61,1.92,2.35,
2022-10-27,1.68,,,,,,,,,
2022-11-01,,,,,,,,,,4.19
2022-11-08,,55.04,2.91,,,,3.17,3.05,3.81,
2022-11-15,,,,,,,,,,7.15
2022-11-21,,46.58,3.18,,,,3.38,2.75,5.2,
2022-11-29,,,,,,,,,,1.49
2022-12-01,2.063333333,,,,,,,,,
2022-12-05,,38.65,2.23,,,,2.45,1.6,2.25,
2022-12-13,,,,,,,,,,0.73
2022-12-27,0.81,22.45,1.06,,,,1.23,1,2.08,
2023-01-10,,,,,,,,,,0.46
2023-01-30,,38.26,1.37,,,,1.06,1.59,2.45,
2023-02-02,0.79,,,,,,,,,
2023-02-27,,55.36,1.2,,,,1.02,1.28,3.19,
2023-03-09,0.82,,,,,,,,,
2023-03-13,,35.93,0.93,,,,0.69,1.45,1.73,
2023-03-21,,,,,,,,,,1.13
2023-03-27,,,,,,,1.14,1.6,2.69,
